,A_i-1,A_i,evalA_i-1,evalA_i,B_i-1,B_i,evalB_i-1,evalB_i,C_i-1,C_i,evalC_i-1,evalC_i
89,?,?,?,?,?,?,1,1,?,?,?,?
90,?,?,?,?,?,?,1,1,?,?,?,?
91,?,?,?,?,?,?,1,0,?,?,?,?
92,?,?,?,?,?,?,0,1,?,?,?,?
93,?,?,?,0,?,?,1,?,?,?,?,?
94,?,?,0,0,?,?,?,?,?,?,?,?
95,?,?,0,0,?,?,?,?,?,?,?,?
96,?,?,0,1,?,?,?,?,?,?,?,?
97,?,?,1,0,?,?,?,?,?,?,?,?
98,?,?,0,?,?,?,?,?,?,?,?,0
99,?,?,?,?,?,?,?,?,?,?,0,1
100,?,?,?,?,?,?,?,?,?,?,1,1
101,?,?,?,?,?,?,?,?,?,?,1,1
102,?,?,?,?,?,?,?,?,?,?,1,0
103,?,?,?,?,?,?,?,0,?,?,0,?
104,?,?,?,?,?,?,0,0,?,?,?,?
105,?,?,?,?,?,?,0,1,?,?,?,?
106,?,?,?,?,?,?,1,1,?,?,?,?
107,?,?,?,?,?,?,1,0,?,?,?,?
108,?,?,?,1,?,?,0,?,?,?,?,?
109,?,?,1,0,?,?,?,?,?,?,?,?
110,?,?,0,1,?,?,?,?,?,?,?,?
111,?,?,1,0,?,?,?,?,?,?,?,?
112,?,?,0,0,?,?,?,?,?,?,?,?
113,?,?,?,?,?,?,?,?,?,?,1,0
114,?,?,?,?,?,?,?,?,?,?,0,0
115,?,?,?,?,?,?,?,?,?,?,0,0
116,?,?,?,?,?,?,?,?,?,?,0,1
117,?,?,?,?,?,?,?,?,?,?,0,1
118,?,?,?,?,?,?,?,?,?,?,1,1
119,?,?,?,?,?,?,?,?,?,?,1,0
120,?,?,?,?,?,?,?,?,?,?,0,0
121,?,?,?,0,?,?,?,?,?,?,0,?
122,?,?,0,0,?,?,?,?,?,?,?,?
123,?,?,0,0,?,?,?,?,?,?,?,?
124,?,?,0,0,?,?,?,?,?,?,?,?
125,?,?,0,0,?,?,?,?,?,?,?,?
126,?,?,0,?,?,?,?,?,?,?,?,1
127,?,?,?,?,?,?,?,?,?,?,1,1
128,?,?,?,?,?,?,?,?,?,?,1,0
129,?,?,?,?,?,?,?,?,?,?,0,0
130,?,?,?,?,?,?,?,?,?,?,0,1
131,?,?,?,?,?,?,?,?,?,?,1,0
132,?,?,?,?,?,?,?,?,?,?,0,1
133,?,?,?,?,?,?,?,?,?,?,1,0
134,?,?,?,?,?,?,?,?,?,?,0,0
135,?,?,?,?,?,?,?,?,?,?,0,0
136,?,?,0,1,?,?,?,?,?,?,?,?
137,?,?,1,0,?,?,?,?,?,?,?,?
138,?,?,0,0,?,?,?,?,?,?,?,?
139,?,?,0,0,?,?,?,?,?,?,?,?
140,?,?,0,?,?,?,?,?,?,?,?,0
141,?,?,?,?,?,?,?,?,?,?,0,1
142,?,?,?,?,?,?,?,?,?,?,1,0
143,?,?,?,?,?,?,?,?,?,?,0,0
144,?,?,?,?,?,?,?,?,?,?,0,0
145,?,?,?,?,?,?,?,1,?,?,0,?
146,?,?,?,?,?,?,1,1,?,?,?,?
147,?,?,?,?,?,?,1,0,?,?,?,?
148,?,?,?,?,?,?,0,1,?,?,?,?
149,?,?,?,?,?,?,1,1,?,?,?,?
150,?,?,?,?,?,?,0,1,?,?,?,?
151,?,?,?,?,?,?,1,1,?,?,?,?
152,?,?,?,?,?,?,1,1,?,?,?,?
153,?,?,?,?,?,?,1,1,?,?,?,?
154,?,?,?,?,?,?,1,0,?,?,?,?
155,?,?,?,?,?,?,0,0,?,?,?,?
156,?,?,?,?,?,?,0,0,?,?,?,?
157,?,?,?,?,?,?,0,0,?,?,?,?
158,?,?,?,?,?,?,0,1,?,?,?,?
159,?,?,?,?,?,?,1,?,?,?,?,0
160,?,?,?,?,?,?,?,?,?,?,0,0
161,?,?,?,?,?,?,?,?,?,?,0,1
162,?,?,?,?,?,?,?,?,?,?,1,1
163,?,?,?,?,?,?,?,?,?,?,1,1
164,?,?,?,?,?,?,?,?,?,?,1,0
165,?,?,?,?,?,?,?,?,?,?,0,0
166,?,?,?,?,?,?,?,?,?,?,0,1
167,?,?,?,?,?,?,?,?,?,?,1,0
168,?,?,?,?,?,?,?,?,?,?,0,0
169,?,?,1,1,?,?,?,?,?,?,?,?
170,?,?,1,1,?,?,?,?,?,?,?,?
171,?,?,1,1,?,?,?,?,?,?,?,?
172,?,?,1,0,?,?,?,?,?,?,?,?
173,?,?,0,?,?,?,?,1,?,?,?,?
174,?,?,?,?,?,?,1,0,?,?,?,?
175,?,?,?,?,?,?,0,1,?,?,?,?
176,?,?,?,?,?,?,1,0,?,?,?,?
177,?,?,?,?,?,?,0,1,?,?,?,?
178,?,?,?,?,?,?,1,?,?,?,?,0
179,?,?,?,?,?,?,?,?,?,?,0,0
180,?,?,?,?,?,?,?,?,?,?,0,1
181,?,?,?,?,?,?,?,?,?,?,1,0
182,?,?,?,?,?,?,?,?,?,?,0,0
183,?,?,?,1,?,?,?,?,?,?,0,?
184,?,?,1,1,?,?,?,?,?,?,?,?
185,?,?,1,0,?,?,?,?,?,?,?,?
186,?,?,0,1,?,?,?,?,?,?,?,?
187,?,?,1,0,?,?,?,?,?,?,?,?
188,?,?,0,1,?,?,?,?,?,?,?,?
189,?,?,1,1,?,?,?,?,?,?,?,?
190,?,?,1,1,?,?,?,?,?,?,?,?
191,?,?,1,0,?,?,?,?,?,?,?,?
192,?,?,0,1,?,?,?,?,?,?,?,?
193,?,?,?,?,?,?,1,0,?,?,?,?
194,?,?,?,?,?,?,0,1,?,?,?,?
195,?,?,?,?,?,?,1,1,?,?,?,?
196,?,?,?,?,?,?,1,1,?,?,?,?
197,?,?,?,1,?,?,1,?,?,?,?,?
198,?,?,1,0,?,?,?,?,?,?,?,?
199,?,?,0,1,?,?,?,?,?,?,?,?
200,?,?,1,0,?,?,?,?,?,?,?,?
201,?,?,0,1,?,?,?,?,?,?,?,?
202,?,?,1,1,?,?,?,?,?,?,?,?
203,?,?,1,1,?,?,?,?,?,?,?,?
204,?,?,1,1,?,?,?,?,?,?,?,?
205,?,?,1,1,?,?,?,?,?,?,?,?
206,?,?,1,1,?,?,?,?,?,?,?,?
207,?,?,1,?,?,?,?,1,?,?,?,?
208,?,?,?,?,?,?,1,1,?,?,?,?
209,?,?,?,?,?,?,1,0,?,?,?,?
210,?,?,?,?,?,?,0,1,?,?,?,?
211,?,?,?,?,?,?,1,0,?,?,?,?
212,?,?,1,0,?,?,?,?,?,?,?,?
213,?,?,0,1,?,?,?,?,?,?,?,?
214,?,?,1,0,?,?,?,?,?,?,?,?
215,?,?,0,0,?,?,?,?,?,?,?,?
216,?,?,0,?,?,?,?,0,?,?,?,?
217,?,?,?,?,?,?,0,0,?,?,?,?
218,?,?,?,?,?,?,0,0,?,?,?,?
219,?,?,?,?,?,?,0,0,?,?,?,?
220,?,?,?,?,?,?,0,1,?,?,?,?
221,?,?,?,1,?,?,1,?,?,?,?,?
222,?,?,1,0,?,?,?,?,?,?,?,?
223,?,?,0,0,?,?,?,?,?,?,?,?
224,?,?,0,1,?,?,?,?,?,?,?,?
225,?,?,1,0,?,?,?,?,?,?,?,?
226,?,?,0,?,?,?,?,1,?,?,?,?
227,?,?,?,?,?,?,1,0,?,?,?,?
228,?,?,?,?,?,?,0,0,?,?,?,?
229,?,?,?,?,?,?,0,0,?,?,?,?
230,?,?,?,?,?,?,0,0,?,?,?,?
231,?,?,0,1,?,?,?,?,?,?,?,?
232,?,?,1,0,?,?,?,?,?,?,?,?
233,?,?,0,1,?,?,?,?,?,?,?,?
234,?,?,1,1,?,?,?,?,?,?,?,?
235,?,?,1,0,?,?,?,?,?,?,?,?
236,?,?,0,0,?,?,?,?,?,?,?,?
237,?,?,0,1,?,?,?,?,?,?,?,?
238,?,?,1,0,?,?,?,?,?,?,?,?
239,?,?,0,1,?,?,?,?,?,?,?,?
240,?,?,1,?,?,?,?,?,?,?,?,0
241,?,?,?,?,?,?,?,?,?,?,0,1
242,?,?,?,?,?,?,?,?,?,?,1,1
243,?,?,?,?,?,?,?,?,?,?,1,1
244,?,?,?,?,?,?,?,?,?,?,1,0
245,?,?,?,?,?,?,?,?,?,?,0,1
246,?,?,?,?,?,?,?,?,?,?,1,0
247,?,?,?,?,?,?,?,?,?,?,0,1
248,?,?,?,?,?,?,?,?,?,?,1,1
249,?,?,?,?,?,?,?,0,?,?,1,?
250,?,?,?,?,?,?,0,1,?,?,?,?
251,?,?,?,?,?,?,1,1,?,?,?,?
252,?,?,?,?,?,?,1,1,?,?,?,?
253,?,?,?,?,?,?,1,1,?,?,?,?
254,?,?,?,1,?,?,1,?,?,?,?,?
255,?,?,1,0,?,?,?,?,?,?,?,?
256,?,?,0,1,?,?,?,?,?,?,?,?
257,?,?,1,1,?,?,?,?,?,?,?,?
258,?,?,1,1,?,?,?,?,?,?,?,?
259,?,?,1,0,?,?,?,?,?,?,?,?
260,?,?,0,0,?,?,?,?,?,?,?,?
261,?,?,0,1,?,?,?,?,?,?,?,?
262,?,?,1,0,?,?,?,?,?,?,?,?
263,?,?,0,?,?,?,?,?,?,?,?,0
264,?,?,?,?,?,?,?,?,?,?,0,0
265,?,?,?,?,?,?,?,?,?,?,0,0
266,?,?,?,?,?,?,?,?,?,?,0,0
267,?,?,?,?,?,?,?,?,?,?,0,0
268,?,?,?,?,?,?,?,0,?,?,0,?
269,?,?,?,?,?,?,0,1,?,?,?,?
270,?,?,?,?,?,?,1,1,?,?,?,?
271,?,?,?,?,?,?,1,1,?,?,?,?
272,?,?,?,?,?,?,1,0,?,?,?,?
273,?,?,0,1,?,?,?,?,?,?,?,?
274,?,?,1,0,?,?,?,?,?,?,?,?
275,?,?,0,0,?,?,?,?,?,?,?,?
276,?,?,0,1,?,?,?,?,?,?,?,?
277,?,?,1,1,?,?,?,?,?,?,?,?
278,?,?,1,1,?,?,?,?,?,?,?,?
279,?,?,1,0,?,?,?,?,?,?,?,?
280,?,?,0,0,?,?,?,?,?,?,?,?
281,?,?,0,1,?,?,?,?,?,?,?,?
282,?,?,1,?,?,?,?,?,?,?,?,0
283,?,?,?,?,?,?,?,?,?,?,0,0
284,?,?,?,?,?,?,?,?,?,?,0,0
285,?,?,?,?,?,?,?,?,?,?,0,1
286,?,?,?,?,?,?,?,?,?,?,1,1
287,?,?,?,?,?,?,1,1,?,?,?,?
288,?,?,?,?,?,?,1,1,?,?,?,?
289,?,?,?,?,?,?,1,0,?,?,?,?
290,?,?,?,?,?,?,0,0,?,?,?,?
291,?,?,?,?,?,?,0,1,?,?,?,?
292,?,?,?,?,?,?,1,1,?,?,?,?
293,?,?,?,?,?,?,1,0,?,?,?,?
294,?,?,?,?,?,?,0,1,?,?,?,?
295,?,?,?,?,?,?,1,1,?,?,?,?
296,?,?,1,0,?,?,?,?,?,?,?,?
297,?,?,0,1,?,?,?,?,?,?,?,?
298,?,?,1,1,?,?,?,?,?,?,?,?
299,?,?,1,1,?,?,?,?,?,?,?,?
300,?,?,1,1,?,?,?,?,?,?,?,?
301,?,?,1,1,?,?,?,?,?,?,?,?
302,?,?,1,1,?,?,?,?,?,?,?,?
303,?,?,1,0,?,?,?,?,?,?,?,?
304,?,?,0,1,?,?,?,?,?,?,?,?
305,?,?,1,1,?,?,?,?,?,?,?,?
306,?,?,1,1,?,?,?,?,?,?,?,?
307,?,?,1,1,?,?,?,?,?,?,?,?
308,?,?,1,0,?,?,?,?,?,?,?,?
309,?,?,0,1,?,?,?,?,?,?,?,?
310,?,?,1,?,?,?,?,?,?,?,?,0
311,?,?,?,?,?,?,?,?,?,?,0,0
312,?,?,?,?,?,?,?,?,?,?,0,0
313,?,?,?,?,?,?,?,?,?,?,0,1
314,?,?,?,?,?,?,?,?,?,?,1,0
315,?,?,?,1,?,?,?,?,?,?,0,?
316,?,?,1,1,?,?,?,?,?,?,?,?
317,?,?,1,1,?,?,?,?,?,?,?,?
318,?,?,1,1,?,?,?,?,?,?,?,?
319,?,?,1,1,?,?,?,?,?,?,?,?
320,?,?,1,1,?,?,?,?,?,?,?,?
321,?,?,1,1,?,?,?,?,?,?,?,?
322,?,?,1,1,?,?,?,?,?,?,?,?
323,?,?,1,0,?,?,?,?,?,?,?,?
324,?,?,0,1,?,?,?,?,?,?,?,?
325,?,?,?,?,?,?,0,1,?,?,?,?
326,?,?,?,?,?,?,1,1,?,?,?,?
327,?,?,?,?,?,?,1,1,?,?,?,?
328,?,?,?,?,?,?,1,1,?,?,?,?
329,?,?,?,?,?,?,1,1,?,?,?,?
330,?,?,?,?,?,?,1,1,?,?,?,?
331,?,?,?,?,?,?,1,1,?,?,?,?
332,?,?,?,?,?,?,1,0,?,?,?,?
333,?,?,?,?,?,?,0,1,?,?,?,?
334,?,?,?,?,?,?,1,?,?,?,?,1
335,?,?,?,?,?,?,?,?,?,?,1,0
336,?,?,?,?,?,?,?,?,?,?,0,1
337,?,?,?,?,?,?,?,?,?,?,1,0
338,?,?,?,?,?,?,?,?,?,?,0,1
339,?,?,?,?,?,?,?,1,?,?,1,?
340,?,?,?,?,?,?,1,0,?,?,?,?
341,?,?,?,?,?,?,0,1,?,?,?,?
342,?,?,?,?,?,?,1,1,?,?,?,?
343,?,?,?,?,?,?,1,1,?,?,?,?
344,?,?,?,?,?,?,1,0,?,?,?,?
345,?,?,?,?,?,?,0,1,?,?,?,?
346,?,?,?,?,?,?,1,1,?,?,?,?
347,?,?,?,?,?,?,1,1,?,?,?,?
348,?,?,?,?,?,?,1,1,?,?,?,?
349,?,?,?,?,?,?,0,1,?,?,?,?
350,?,?,?,?,?,?,1,1,?,?,?,?
351,?,?,?,?,?,?,1,1,?,?,?,?
352,?,?,?,?,?,?,1,1,?,?,?,?
353,?,?,1,1,?,?,?,?,?,?,?,?
354,?,?,1,1,?,?,?,?,?,?,?,?
355,?,?,1,1,?,?,?,?,?,?,?,?
356,?,?,1,1,?,?,?,?,?,?,?,?
357,?,?,1,?,?,?,?,1,?,?,?,?
358,?,?,?,?,?,?,1,1,?,?,?,?
359,?,?,?,?,?,?,1,1,?,?,?,?
360,?,?,?,?,?,?,1,1,?,?,?,?
361,?,?,?,?,?,?,1,0,?,?,?,?
362,?,?,?,?,?,?,0,?,?,?,?,0
363,?,?,?,?,?,?,?,?,?,?,0,1
364,?,?,?,?,?,?,?,?,?,?,1,0
365,?,?,?,?,?,?,?,?,?,?,0,0
366,?,?,?,?,?,?,?,?,?,?,0,0
367,?,?,?,?,?,?,?,?,?,?,0,0
368,?,?,?,?,?,?,?,?,?,?,0,1
369,?,?,?,?,?,?,?,?,?,?,1,0
370,?,?,?,?,?,?,?,?,?,?,0,1
371,?,?,?,?,?,?,?,?,?,?,1,1
372,?,?,?,?,?,?,?,?,?,?,0,0
373,?,?,?,?,?,?,?,?,?,?,0,0
374,?,?,?,?,?,?,?,?,?,?,0,1
375,?,?,?,?,?,?,?,?,?,?,1,1
376,?,?,?,0,?,?,?,?,?,?,1,?
377,?,?,0,1,?,?,?,?,?,?,?,?
378,?,?,1,1,?,?,?,?,?,?,?,?
379,?,?,1,0,?,?,?,?,?,?,?,?
380,?,?,0,0,?,?,?,?,?,?,?,?
381,?,?,0,?,?,?,?,?,?,?,?,0
382,?,?,?,?,?,?,?,?,?,?,0,1
383,?,?,?,?,?,?,?,?,?,?,1,0
384,?,?,?,?,?,?,?,?,?,?,0,1
385,?,?,?,?,?,?,?,?,?,?,1,0
386,?,?,?,0,?,?,?,?,?,?,0,?
387,?,?,0,0,?,?,?,?,?,?,?,?
388,?,?,0,0,?,?,?,?,?,?,?,?
389,?,?,0,1,?,?,?,?,?,?,?,?
390,?,?,1,1,?,?,?,?,?,?,?,?
391,?,?,?,?,?,?,1,1,?,?,?,?
392,?,?,?,?,?,?,1,1,?,?,?,?
393,?,?,?,?,?,?,1,0,?,?,?,?
394,?,?,?,?,?,?,0,1,?,?,?,?
395,?,?,?,1,?,?,1,?,?,?,?,?
396,?,?,1,0,?,?,?,?,?,?,?,?
397,?,?,0,1,?,?,?,?,?,?,?,?
398,?,?,1,1,?,?,?,?,?,?,?,?
399,?,?,1,0,?,?,?,?,?,?,?,?
400,?,?,0,?,?,?,?,1,?,?,?,?
401,?,?,?,?,?,?,1,1,?,?,?,?
402,?,?,?,?,?,?,1,1,?,?,?,?
403,?,?,?,?,?,?,1,0,?,?,?,?
404,?,?,?,?,?,?,0,1,?,?,?,?
405,?,?,?,0,?,?,1,?,?,?,?,?
406,?,?,0,0,?,?,?,?,?,?,?,?
407,?,?,0,1,?,?,?,?,?,?,?,?
408,?,?,1,1,?,?,?,?,?,?,?,?
409,?,?,1,1,?,?,?,?,?,?,?,?
410,?,?,1,?,?,?,?,0,?,?,?,?
411,?,?,?,?,?,?,0,1,?,?,?,?
412,?,?,?,?,?,?,1,0,?,?,?,?
413,?,?,?,?,?,?,0,1,?,?,?,?
414,?,?,?,?,?,?,1,1,?,?,?,?
415,?,?,?,?,?,?,1,1,?,?,?,?
416,?,?,?,?,?,?,1,0,?,?,?,?
417,?,?,?,?,?,?,0,0,?,?,?,?
418,?,?,?,?,?,?,0,0,?,?,?,?
419,?,?,?,?,?,?,0,?,?,?,?,0
420,?,?,?,?,?,?,?,?,?,?,0,1
421,?,?,?,?,?,?,?,?,?,?,1,0
422,?,?,?,?,?,?,?,?,?,?,0,0
423,?,?,?,?,?,?,?,?,?,?,0,0
424,?,?,?,?,?,?,?,?,?,?,0,1
425,?,?,?,?,?,?,?,?,?,?,1,0
426,?,?,?,?,?,?,?,?,?,?,0,1
427,?,?,?,?,?,?,?,?,?,?,1,0
428,?,?,?,?,?,?,?,0,?,?,0,?
429,?,?,?,?,?,?,0,1,?,?,?,?
430,?,?,?,?,?,?,1,0,?,?,?,?
431,?,?,?,?,?,?,0,0,?,?,?,?
432,?,?,?,?,?,?,0,0,?,?,?,?
433,?,?,?,?,?,?,0,0,?,?,?,?
434,?,?,?,?,?,?,0,0,?,?,?,?
435,?,?,?,?,?,?,0,0,?,?,?,?
436,?,?,?,?,?,?,0,0,?,?,?,?
437,?,?,?,?,?,?,0,0,?,?,?,?
438,?,?,0,1,?,?,?,?,?,?,?,?
439,?,?,1,1,?,?,?,?,?,?,?,?
440,?,?,1,0,?,?,?,?,?,?,?,?
441,?,?,0,1,?,?,?,?,?,?,?,?
442,?,?,1,?,?,?,?,0,?,?,?,?
443,?,?,?,?,?,?,0,0,?,?,?,?
444,?,?,?,?,?,?,0,1,?,?,?,?
445,?,?,?,?,?,?,1,0,?,?,?,?
446,?,?,?,?,?,?,0,1,?,?,?,?
447,?,?,?,?,?,?,1,0,?,?,?,?
448,?,?,?,?,?,?,0,0,?,?,?,?
449,?,?,?,?,?,?,0,0,?,?,?,?
450,?,?,?,?,?,?,0,1,?,?,?,?
451,?,?,?,?,?,?,1,1,?,?,?,?
452,?,?,0,1,?,?,?,?,?,?,?,?
453,?,?,1,1,?,?,?,?,?,?,?,?
454,?,?,1,0,?,?,?,?,?,?,?,?
455,?,?,0,1,?,?,?,?,?,?,?,?
456,?,?,1,?,?,?,?,1,?,?,?,?
457,?,?,?,?,?,?,1,1,?,?,?,?
458,?,?,?,?,?,?,1,1,?,?,?,?
459,?,?,?,?,?,?,1,1,?,?,?,?
460,?,?,?,?,?,?,1,1,?,?,?,?
461,?,?,?,?,?,?,1,?,?,?,?,1
462,?,?,?,?,?,?,?,?,?,?,1,1
463,?,?,?,?,?,?,?,?,?,?,1,0
464,?,?,?,?,?,?,?,?,?,?,0,1
465,?,?,?,?,?,?,?,?,?,?,1,1
466,?,?,?,?,?,?,?,1,?,?,1,?
467,?,?,?,?,?,?,1,1,?,?,?,?
468,?,?,?,?,?,?,1,0,?,?,?,?
469,?,?,?,?,?,?,0,1,?,?,?,?
470,?,?,?,?,?,?,1,1,?,?,?,?
471,?,?,?,?,?,?,1,1,?,?,?,?
472,?,?,?,?,?,?,1,1,?,?,?,?
473,?,?,?,?,?,?,1,1,?,?,?,?
474,?,?,?,?,?,?,1,1,?,?,?,?
475,?,?,?,?,?,?,1,1,?,?,?,?
476,?,?,0,0,?,?,?,?,?,?,?,?
477,?,?,0,1,?,?,?,?,?,?,?,?
478,?,?,1,0,?,?,?,?,?,?,?,?
479,?,?,0,1,?,?,?,?,?,?,?,?
480,?,?,1,1,?,?,?,?,?,?,?,?
481,?,?,1,0,?,?,?,?,?,?,?,?
482,?,?,0,0,?,?,?,?,?,?,?,?
483,?,?,0,1,?,?,?,?,?,?,?,?
484,?,?,1,0,?,?,?,?,?,?,?,?
485,?,?,0,0,?,?,?,?,?,?,?,?
486,?,?,0,0,?,?,?,?,?,?,?,?
487,?,?,0,1,?,?,?,?,?,?,?,?
488,?,?,1,0,?,?,?,?,?,?,?,?
489,?,?,0,0,?,?,?,?,?,?,?,?
490,?,?,0,?,?,?,?,?,?,?,?,0
491,?,?,?,?,?,?,?,?,?,?,0,0
492,?,?,?,?,?,?,?,?,?,?,0,0
493,?,?,?,?,?,?,?,?,?,?,0,1
494,?,?,?,?,?,?,?,?,?,?,1,0
495,?,?,1,0,?,?,?,?,?,?,?,?
496,?,?,0,1,?,?,?,?,?,?,?,?
497,?,?,1,1,?,?,?,?,?,?,?,?
498,?,?,1,0,?,?,?,?,?,?,?,?
499,?,?,0,0,?,?,?,?,?,?,?,?
500,?,?,0,0,?,?,?,?,?,?,?,?
501,?,?,0,0,?,?,?,?,?,?,?,?
502,?,?,0,0,?,?,?,?,?,?,?,?
503,?,?,0,1,?,?,?,?,?,?,?,?
504,?,?,1,?,?,?,?,?,?,?,?,0
505,?,?,?,?,?,?,?,?,?,?,0,1
506,?,?,?,?,?,?,?,?,?,?,1,1
507,?,?,?,?,?,?,?,?,?,?,1,0
508,?,?,?,?,?,?,?,?,?,?,0,0
509,?,?,?,?,?,?,?,1,?,?,0,?
510,?,?,?,?,?,?,1,1,?,?,?,?
511,?,?,?,?,?,?,1,1,?,?,?,?
512,?,?,?,?,?,?,1,0,?,?,?,?
513,?,?,?,?,?,?,0,1,?,?,?,?
514,?,?,?,1,?,?,1,?,?,?,?,?
515,?,?,1,1,?,?,?,?,?,?,?,?
516,?,?,1,0,?,?,?,?,?,?,?,?
517,?,?,0,1,?,?,?,?,?,?,?,?
518,?,?,1,0,?,?,?,?,?,?,?,?
519,?,?,?,?,?,?,1,1,?,?,?,?
520,?,?,?,?,?,?,1,0,?,?,?,?
521,?,?,?,?,?,?,0,0,?,?,?,?
522,?,?,?,?,?,?,0,0,?,?,?,?
523,?,?,?,?,?,?,0,?,?,?,?,0
524,?,?,?,?,?,?,?,?,?,?,0,0
525,?,?,?,?,?,?,?,?,?,?,0,0
526,?,?,?,?,?,?,?,?,?,?,0,0
527,?,?,?,?,?,?,?,?,?,?,0,1
528,?,?,?,1,?,?,?,?,?,?,1,?
529,?,?,1,0,?,?,?,?,?,?,?,?
530,?,?,0,0,?,?,?,?,?,?,?,?
531,?,?,0,1,?,?,?,?,?,?,?,?
